"Latitude","c3_yld","c3_sd_yld","c4_yld","c4_sd_yld","diff","sd_min","sd_max"
53.4841,1.7251874,0,1.4664721,0,-0.2587153,-0.2587153,-0.2587153
53.4716,1.7491552,0,1.4878848,0,-0.2612704,-0.2612704,-0.2612704
53.4591,1.8109853,0.040774047,1.5413489,0.033813894,-0.2696364,-0.310410447,-0.235822506
53.4382,1.877189,0,1.595996,0,-0.281193,-0.281193,-0.281193
53.4007,2.020829,0.030071665,1.7230304,0.024446353,-0.2977986,-0.327870265,-0.273352247
53.3965,1.860375,0.023244262,1.5826709,0.019774497,-0.2777041,-0.300948362,-0.257929603
53.3924,1.9783012,0,1.6884581,0,-0.2898431,-0.2898431,-0.2898431
53.3882,1.8493807,0.04193352,1.5753043,0.033241034,-0.2740764,-0.31600992,-0.240835366
53.384,1.8474356,0.0855853,1.5761336,0.0719514,-0.271302,-0.3568873,-0.1993506
53.3798,1.9956737,0,1.7007571,0,-0.2949166,-0.2949166,-0.2949166
53.3757,1.6766019,0.3190717,1.4286323,0.27212495,-0.2479696,-0.5670413,0.02415535
53.359,1.7089459,0.24848838,1.4543861,0.21063215,-0.2545598,-0.50304818,-0.04392765
53.3548,1.3575302,0,1.1565073,0,-0.2010229,-0.2010229,-0.2010229
53.3506,1.9783012,0,1.6884581,0,-0.2898431,-0.2898431,-0.2898431
53.3465,1.7653078,0.11840404,1.5016856,0.102437355,-0.2636222,-0.38202624,-0.161184845
53.334,1.9479913,0.01377595,1.6625873,0.011757566,-0.285404,-0.29917995,-0.273646434
53.3298,1.9467006,0.012029578,1.6602573,0.010947198,-0.2864433,-0.298472878,-0.275496102
53.3256,1.9861014,0,1.6951139,0,-0.2909875,-0.2909875,-0.2909875
53.3214,1.9861014,0,1.6951139,0,-0.2909875,-0.2909875,-0.2909875
53.3131,1.9382502,0,1.6542735,0,-0.2839767,-0.2839767,-0.2839767
53.3048,1.8536897,0.045020938,1.5782268,0.039322913,-0.2754629,-0.320483838,-0.236139987
53.3006,1.8536897,0.045020938,1.5782268,0.039322913,-0.2754629,-0.320483838,-0.236139987
53.2964,1.9767873,0.009314001,1.6871645,0.007949412,-0.2896228,-0.298936801,-0.281673388
53.2922,1.7623962,0,1.5019529,0,-0.2604433,-0.2604433,-0.2604433
53.2881,1.923056,0.057790127,1.6404823,0.050547685,-0.2825737,-0.340363827,-0.232026015
53.2839,1.96893,0.021948943,1.6804583,0.018733127,-0.2884717,-0.310420643,-0.269738573
53.2797,1.887528,0.088167,1.6083306,0.07762141,-0.2791974,-0.3673644,-0.20157599
53.2756,1.9786503,0.009125819,1.6887543,0.007788801,-0.289896,-0.299021819,-0.282107199
53.2714,1.9988605,0,1.7060035,0,-0.292857,-0.292857,-0.292857
53.2672,1.9883981,0.014796017,1.697074,0.012628207,-0.2913241,-0.306120117,-0.278695893
53.263,1.9777293,0,1.6879699,0,-0.2897594,-0.2897594,-0.2897594
53.2589,1.975726,0.007816108,1.6862589,0.006671085,-0.2894671,-0.297283208,-0.282796015
53.2547,1.9579897,0.019739568,1.6711217,0.016848207,-0.286868,-0.306607568,-0.270019793
53.2505,2.0467033,0.032630723,1.7468374,0.027849598,-0.2998659,-0.332496623,-0.272016302
53.2464,2.0225556,0.065190166,1.7255148,0.057104908,-0.2970408,-0.362230966,-0.239935892
53.2422,1.8732284,0.18478888,1.5935082,0.16237625,-0.2797202,-0.46450908,-0.11734395
53.238,1.8679942,0,1.5893809,0,-0.2786133,-0.2786133,-0.2786133
53.2338,2.0126686,0.06384465,1.7160918,0.05672666,-0.2965768,-0.36042145,-0.23985014
53.2297,1.8935935,0.24148068,1.6117347,0.21259129,-0.2818588,-0.52333948,-0.06926751
53.2255,1.9543209,0.08490747,1.664403,0.07463803,-0.2899179,-0.37482537,-0.21527987
53.2213,1.9708074,0.09301749,1.6798635,0.08169671,-0.2909439,-0.38396139,-0.20924719
53.2172,1.9791048,0.09171018,1.6866493,0.0807209,-0.2924555,-0.38416568,-0.2117346
53.213,1.8771305,0.022440935,1.5977145,0.018046146,-0.279416,-0.301856935,-0.261369854
53.2088,1.7038617,0.1643337,1.4446805,0.14487159,-0.2591812,-0.4235149,-0.11430961
53.2046,1.9818155,0.28400615,1.6918024,0.25179547,-0.2900131,-0.57401925,-0.0382176299999999
53.2005,1.7564604,0.17905107,1.490795,0.15771085,-0.2656654,-0.44471647,-0.10795455
53.1963,1.7687122,0.17463692,1.5014857,0.15367536,-0.2672265,-0.44186342,-0.11355114
53.1921,1.9220185,0.118009605,1.6363778,0.103760734,-0.2856407,-0.403650305,-0.181879966
53.188,1.9246719,0.14325038,1.6391311,0.12628867,-0.2855408,-0.42879118,-0.15925213
53.1838,1.9139127,0.06963557,1.629236,0.061163582,-0.2846767,-0.35431227,-0.223513118
53.1796,1.9438121,0.23437478,1.6554806,0.20614317,-0.2883315,-0.52270628,-0.08218833
53.1755,2.0463312,0.07207178,1.7456884,0.06332633,-0.3006428,-0.37271458,-0.23731647
53.1713,2.0404506,0.08622813,1.7405142,0.07556672,-0.2999364,-0.38616453,-0.22436968
53.1671,1.9602339,0.072777525,1.671633,0.06401246,-0.2886009,-0.361378425,-0.22458844
53.1629,1.9509294,0.06883326,1.6639632,0.060563505,-0.2869662,-0.35579946,-0.226402695
53.1588,1.9810395,0.066599,1.6902624,0.0581975,-0.2907771,-0.3573761,-0.2325796
53.1546,1.9627885,0.050835334,1.6739187,0.045081537,-0.2888698,-0.339705134,-0.243788263
53.1504,1.948896,0.07482812,1.6623352,0.0657485,-0.2865608,-0.36138892,-0.2208123
53.1463,1.9479403,0.06808134,1.6607468,0.060079277,-0.2871935,-0.35527484,-0.227114223
53.1421,1.9587405,0.06774676,1.6706408,0.059771936,-0.2880997,-0.35584646,-0.228327764
53.1379,1.961277,0.048565682,1.6732047,0.042906728,-0.2880723,-0.336637982,-0.245165572
53.1337,1.9284827,0.07401138,1.6443176,0.06505296,-0.2841651,-0.35817648,-0.21911214
53.1296,1.9930031,0.029034872,1.7010044,0.024780916,-0.2919987,-0.321033572,-0.267217784
53.1254,1.9445493,0.06553736,1.657483,0.058173463,-0.2870663,-0.35260366,-0.228892837
53.1212,1.9154452,0.08089773,1.6322358,0.07095124,-0.2832094,-0.36410713,-0.21225816
53.1171,1.9819787,0.17842011,1.6919246,0.15889955,-0.2900541,-0.46847421,-0.13115455
53.1129,1.985083,0.04362633,1.6937469,0.03836273,-0.2913361,-0.33496243,-0.25297337
53.1087,1.942564,0.08642541,1.6566516,0.0757448,-0.2859124,-0.37233781,-0.2101676
53.1045,2.0324013,0.20983823,1.737226,0.18716933,-0.2951753,-0.50501353,-0.10800597
53.1004,1.9075309,0.06340353,1.6252546,0.056336015,-0.2822763,-0.34567983,-0.225940285
53.0962,1.914169,0.048675306,1.630406,0.04360504,-0.283763,-0.332438306,-0.24015796
53.092,1.981061,0.029449128,1.6897898,0.026227182,-0.2912712,-0.320720328,-0.265044018
53.0879,1.9271339,0.03625878,1.6414372,0.033160295,-0.2856967,-0.32195548,-0.252536405
53.0837,1.7953066,0.10496712,1.5241209,0.089108944,-0.2711857,-0.37615282,-0.182076756
53.0795,1.874616,0.07967076,1.5961547,0.070520215,-0.2784613,-0.35813206,-0.207941085
53.0753,1.8151975,0.106196135,1.5444872,0.09232341,-0.2707103,-0.376906435,-0.17838689
53.0712,1.818042,0.12791382,1.547514,0.1137871,-0.270528,-0.39844182,-0.1567409
53.067,1.8223768,0.12816523,1.55132,0.11245047,-0.2710568,-0.39922203,-0.15860633
53.0628,1.7846341,0.102664545,1.5164102,0.08795086,-0.2682239,-0.370888445,-0.18027304
53.0587,1.8493882,0.097897075,1.5718123,0.08682414,-0.2775759,-0.375472975,-0.19075176
53.0545,1.7971494,0.038738627,1.527153,0.03159294,-0.2699964,-0.308735027,-0.23840346
53.0503,1.764884,0.08587253,1.4989363,0.07315257,-0.2659477,-0.35182023,-0.19279513
53.0461,1.7864646,0.08029573,1.5179119,0.06870035,-0.2685527,-0.34884843,-0.19985235
53.042,1.8192432,0.09322854,1.5462762,0.08029948,-0.272967,-0.36619554,-0.19266752
53.0378,1.8189485,0.10230169,1.5459406,0.08830789,-0.2730079,-0.37530959,-0.18470001
53.0336,1.8212779,0.079648614,1.5484205,0.069535166,-0.2728574,-0.352506014,-0.203322234
53.0295,1.8137674,0.047310945,1.5411353,0.038771167,-0.2726321,-0.319943045,-0.233860933
53.0253,1.8221308,0.07045513,1.5489786,0.060036276,-0.2731522,-0.34360733,-0.213115924
53.0211,1.8717308,0.09587246,1.5930648,0.08342454,-0.278666,-0.37453846,-0.19524146
53.0169,1.7643493,1.1920929e-07,1.5011946,1.1920929e-07,-0.2631547,-0.26315481920929,-0.26315458079071
53.0086,1.859557,0,1.5822021,0,-0.2773549,-0.2773549,-0.2773549
53.0044,2.0865684,0.31880072,1.7833881,0.2810336,-0.3031803,-0.62198102,-0.0221467
53.0003,1.8462642,0.0036862195,1.5708919,0.0031364,-0.2753723,-0.2790585195,-0.2722359
52.9961,1.8503565,0.025461113,1.5749375,0.025567075,-0.275419,-0.300880113,-0.249851925
52.9877,1.843169,0.0028017103,1.5669807,0.0006937039,-0.2761883,-0.2789900103,-0.2754945961
52.9836,1.8211681,0.022229807,1.549539,0.018914154,-0.2716291,-0.293858907,-0.252714946
52.9794,1.8166493,0.022275688,1.5456942,0.018953195,-0.2709551,-0.293230788,-0.252001905
52.9752,1.8282691,0.020209946,1.555581,0.017195564,-0.2726881,-0.292898046,-0.255492536
52.9711,1.7963146,1.1920929e-07,1.5283923,0,-0.2679223,-0.26792241920929,-0.2679223
52.9669,1.8292958,0.020367652,1.5558156,0.016824,-0.2734802,-0.293847852,-0.2566562
52.9627,1.849045,0.05844107,1.5741568,0.051641267,-0.2748882,-0.33332927,-0.223246933
52.9585,1.8421637,0.064840734,1.572,0.061670676,-0.2701637,-0.335004434,-0.208493024
52.9544,1.8409495,0.054100223,1.5663358,0.047376446,-0.2746137,-0.328713923,-0.227237254
52.9502,1.8312658,0.04990654,1.5576212,0.04355593,-0.2736446,-0.32355114,-0.23008867
52.946,1.8206242,0.050471,1.5489097,0.044027567,-0.2717145,-0.3221855,-0.227686933
52.9419,1.8123008,0.054960176,1.5440662,0.049552105,-0.2682346,-0.323194776,-0.218682495
52.9377,1.8028188,0.052422237,1.5348834,0.04619981,-0.2679354,-0.320357637,-0.22173559
52.9335,1.7936431,0.01945499,1.5290042,0.015931541,-0.2646389,-0.28409389,-0.248707359
52.9294,1.8308991,0.05773714,1.5589806,0.05061967,-0.2719185,-0.32965564,-0.22129883
52.9252,1.8174272,0.051256374,1.5458988,0.04540185,-0.2715284,-0.322784774,-0.22612655
52.921,1.8190383,0.05179785,1.5480685,0.044899326,-0.2709698,-0.32276765,-0.226070474
52.9168,1.858598,0.09789053,1.5828274,0.08685994,-0.2757706,-0.37366113,-0.18891066
52.9127,1.8231308,0.08133818,1.5507742,0.072624646,-0.2723566,-0.35369478,-0.199731954
52.9085,1.8634477,0.09530925,1.5857683,0.08436119,-0.2776794,-0.37298865,-0.19331821
52.9043,1.8937973,0.022527559,1.6138611,0.019197587,-0.2799362,-0.302463759,-0.260738613
52.9002,1.9744571,0.12291359,1.6838509,0.10751723,-0.2906062,-0.41351979,-0.18308897
52.896,1.9404206,0.16173331,1.6530776,0.14220549,-0.287343,-0.44907631,-0.14513751
