"Latitude","c3_yld","c3_sd_yld","c4_yld","c4_sd_yld","diff","sd_min","sd_max"
53.4841,3.1693392,0,2.5228043,0,-0.6465349,-0.6465349,-0.6465349
53.4716,3.1520333,0,2.5091894,0,-0.6428439,-0.6428439,-0.6428439
53.4591,3.2755694,0.0627588,2.6084278,0.04906273,-0.6671416,-0.7299004,-0.61807887
53.4382,3.4889095,0,2.777736,0,-0.7111735,-0.7111735,-0.7111735
53.4007,3.685482,0.07491259,2.9378452,0.05897367,-0.7476368,-0.82254939,-0.68866313
53.3965,3.5068727,0.045983315,2.7938294,0.03663361,-0.7130433,-0.759026615,-0.67640969
53.3924,3.5795398,0,2.8544438,0,-0.725096,-0.725096,-0.725096
53.3882,3.4347756,0.14461851,2.7373824,0.113999896,-0.6973932,-0.84201171,-0.583393304
53.384,3.3579428,0.17370407,2.6773381,0.13783042,-0.6806047,-0.85430877,-0.54277428
53.3798,3.658807,0,2.9160678,2.3841858e-07,-0.7427392,-0.7427392,-0.74273896158142
53.3757,3.1159372,0.5428697,2.4838104,0.43225706,-0.6321268,-1.1749965,-0.19986974
53.359,3.227121,0.46248555,2.571513,0.36766672,-0.655608,-1.11809355,-0.28794128
53.3548,2.5730677,0,2.0515535,0,-0.5215142,-0.5215142,-0.5215142
53.3506,3.5795398,0,2.8544438,0,-0.725096,-0.725096,-0.725096
53.3465,3.3028796,0.2542681,2.6311567,0.20435129,-0.6717229,-0.925991,-0.46737161
53.334,3.5221546,0.023668772,2.8086815,0.018874258,-0.7134731,-0.737141872,-0.694598842
53.3298,3.5453467,0.02312742,2.8264046,0.017958075,-0.7189421,-0.74206952,-0.700984025
53.3256,3.5868535,0,2.8602746,0,-0.7265789,-0.7265789,-0.7265789
53.3214,3.5868535,0,2.8602746,0,-0.7265789,-0.7265789,-0.7265789
53.3131,3.505418,0,2.7953353,0,-0.7100827,-0.7100827,-0.7100827
53.3048,3.4224067,0.16844296,2.7269588,0.136091,-0.6954479,-0.86389086,-0.5593569
53.3006,3.4224067,0.16844296,2.7269588,0.136091,-0.6954479,-0.86389086,-0.5593569
53.2964,3.5712404,0.015613198,2.847824,0.012450457,-0.7234164,-0.739029598,-0.710965943
53.2922,3.2334948,0,2.5770938,0,-0.656401,-0.656401,-0.656401
53.2881,3.51835,0.045841724,2.805534,0.036677614,-0.712816,-0.758657724,-0.676138386
53.2839,3.5582674,0.038040377,2.837479,0.030334668,-0.7207884,-0.758828777,-0.690453732
53.2797,3.4019148,0.16541426,2.7106042,0.13386932,-0.6913106,-0.85672486,-0.55744128
53.2756,3.574363,0.015297747,2.8503141,0.012198906,-0.7240489,-0.739346647,-0.711849994
53.2714,3.6120737,0,2.880386,0,-0.7316877,-0.7316877,-0.7316877
53.2672,3.5932581,0.026609162,2.865382,0.021219084,-0.7278761,-0.754485262,-0.706657016
53.263,3.5758245,0,2.851481,0,-0.7243435,-0.7243435,-0.7243435
53.2589,3.5703197,0.013389526,2.8470902,0.0106773805,-0.7232295,-0.736619026,-0.7125521195
53.2547,3.5406213,0.03520322,2.8234081,0.028072834,-0.7172132,-0.75241642,-0.689140366
53.2505,3.7065568,0.058560308,2.95573,0.046697617,-0.7508268,-0.809387108,-0.704129183
53.2464,3.6608796,0.119995296,2.918713,0.096910276,-0.7421666,-0.862161896,-0.645256324
53.2422,3.3294802,0.4447334,2.6498866,0.36002785,-0.6795936,-1.124327,-0.31956575
53.238,3.3768072,0,2.688678,0,-0.6881292,-0.6881292,-0.6881292
53.2338,3.6420352,0.118121006,2.9028673,0.09605152,-0.7391679,-0.857288906,-0.64311638
53.2297,3.328426,0.5854732,2.6491933,0.47424936,-0.6792327,-1.2647059,-0.20498334
53.2255,3.5345142,0.15641929,2.8155558,0.12653945,-0.7189584,-0.87537769,-0.59241895
53.2213,3.5662405,0.17130616,2.8420105,0.13852744,-0.72423,-0.89553616,-0.58570256
53.2172,3.5800557,0.16941915,2.852782,0.13713413,-0.7272737,-0.89669285,-0.59013957
53.213,3.4045694,0.01726969,2.7113676,0.012656047,-0.6932018,-0.71047149,-0.680545753
53.2088,2.9219317,0.45642424,2.3199897,0.36992133,-0.601942,-1.05836624,-0.23202067
53.2046,3.5161085,0.31348756,2.802968,0.2547913,-0.7131405,-1.02662806,-0.4583492
53.2005,3.0480027,0.47816047,2.421964,0.3874108,-0.6260387,-1.10419917,-0.2386279
53.1963,3.0824745,0.46622717,2.4498172,0.37764263,-0.6326573,-1.09888447,-0.25501467
53.1921,3.4618058,0.26611665,2.7570045,0.21543567,-0.7048013,-0.97091795,-0.48936563
53.188,3.452729,0.34200233,2.7499807,0.2771399,-0.7027483,-1.04475063,-0.4256084
53.1838,3.4600394,0.1283168,2.7556036,0.10376362,-0.7044358,-0.8327526,-0.60067218
53.1796,3.439071,0.56342864,2.738426,0.45621192,-0.700645,-1.26407364,-0.24443308
53.1755,3.7041972,0.1331001,2.9531574,0.10764569,-0.7510398,-0.8841399,-0.64339411
53.1713,3.6936975,0.15844499,2.9446554,0.12798873,-0.7490421,-0.90748709,-0.62105337
53.1671,3.549444,0.1367043,2.8292785,0.11063339,-0.7201655,-0.8568698,-0.60953211
53.1629,3.5550532,0.1449027,2.8343806,0.117454804,-0.7206726,-0.8655753,-0.603217796
53.1588,3.5914493,0.12255609,2.863497,0.09885689,-0.7279523,-0.85050839,-0.62909541
53.1546,3.5586543,0.092790484,2.8367052,0.075381294,-0.7219491,-0.814739584,-0.646567806
53.1504,3.5322387,0.13756388,2.81587,0.11126478,-0.7163687,-0.85393258,-0.60510392
53.1463,3.5319335,0.12537336,2.8149817,0.10160161,-0.7169518,-0.84232516,-0.61535019
53.1421,3.5508363,0.12465822,2.8306193,0.101028115,-0.720217,-0.84487522,-0.619188885
53.1379,3.5724347,0.10879359,2.848534,0.08832986,-0.7239007,-0.83269429,-0.63557084
53.1337,3.4949837,0.13775642,2.7856658,0.11139623,-0.7093179,-0.84707432,-0.59792167
53.1296,3.6153584,0.054760568,2.8830054,0.043667965,-0.732353,-0.787113568,-0.688685035
53.1254,3.5265632,0.12060379,2.8103905,0.09802249,-0.7161727,-0.83677649,-0.61815021
53.1212,3.502831,0.18360937,2.7917702,0.1488165,-0.7110608,-0.89467017,-0.5622443
53.1171,3.5458717,0.20468076,2.82717,0.16659777,-0.7187017,-0.92338246,-0.55210393
53.1129,3.6007671,0.07985631,2.870954,0.06460179,-0.7298131,-0.80966941,-0.66521131
53.1087,3.5217674,0.15971108,2.8072872,0.12900606,-0.7144802,-0.87419128,-0.58547414
53.1045,3.597555,0.20201886,2.869688,0.16495864,-0.727867,-0.92988586,-0.56290836
53.1004,3.4578311,0.11590247,2.7550533,0.094255075,-0.7027778,-0.81868027,-0.608522725
53.0962,3.4709938,0.08834877,2.7651196,0.07214335,-0.7058742,-0.79422297,-0.63373085
53.092,3.706913,0.09619759,2.9576058,0.078576446,-0.7493072,-0.84550479,-0.670730754
53.0879,3.495409,0.06425257,2.78456,0.053077076,-0.710849,-0.77510157,-0.657771924
53.0837,3.227123,0.18548615,2.5666676,0.14752285,-0.6604554,-0.84594155,-0.51293255
53.0795,3.3904717,0.14952075,2.7005134,0.1214433,-0.6899583,-0.83947905,-0.568515
53.0753,3.282443,0.1979099,2.6135738,0.15930593,-0.6688692,-0.8667791,-0.50956327
53.0712,3.313805,0.30255273,2.6397653,0.24699052,-0.6740397,-0.97659243,-0.42704918
53.067,3.2943487,0.24006493,2.6236556,0.19400316,-0.6706931,-0.91075803,-0.47668994
53.0628,3.2282057,0.19254652,2.5687594,0.15401441,-0.6594463,-0.85199282,-0.50543189
53.0587,3.3454351,0.22346723,2.6625993,0.18225528,-0.6828358,-0.90630303,-0.50058052
53.0545,3.2409887,0.05828536,2.5789206,0.045350965,-0.6620681,-0.72035346,-0.616717135
53.0503,3.1783361,0.15373105,2.5284019,0.1225386,-0.6499342,-0.80366525,-0.5273956
53.0461,3.2211294,0.14609623,2.5629838,0.116739385,-0.6581456,-0.80424183,-0.541406215
53.042,3.2799032,0.17096558,2.6101792,0.13709503,-0.669724,-0.84068958,-0.53262897
53.0378,3.2767777,0.18704918,2.6076214,0.15014236,-0.6691563,-0.85620548,-0.51901394
53.0336,3.2869895,0.15106456,2.6161635,0.12188245,-0.670826,-0.82189056,-0.54894355
53.0295,3.2685866,0.0732599,2.6007657,0.05714609,-0.6678209,-0.7410808,-0.61067481
53.0253,3.2893982,0.12694249,2.617939,0.10129042,-0.6714592,-0.79840169,-0.57016878
53.0211,3.4039474,0.22193421,2.710988,0.17878126,-0.6929594,-0.91489361,-0.51417814
53.0169,3.1950188,0,2.5439346,0,-0.6510842,-0.6510842,-0.6510842
