"Latitude","c3_yld","c3_sd_yld","c4_yld","c4_sd_yld","diff","sd_min","sd_max"
53.4841,1.8509403,0,1.5673459,0,-0.2835944,-0.2835944,-0.2835944
53.4716,1.8689101,0,1.5838491,0,-0.285061,-0.285061,-0.285061
53.4591,1.9362772,0.042381763,1.6417888,0.035069346,-0.2944884,-0.336870163,-0.259419054
53.4382,2.0251698,0,1.7151037,0,-0.3100661,-0.3100661,-0.3100661
53.4007,2.1762054,0.031644754,1.8485626,0.025538575,-0.3276428,-0.359287554,-0.302104225
53.3965,2.013013,0.024734616,1.7056761,0.020958304,-0.3073369,-0.332071516,-0.286378596
53.3924,2.131453,0,1.8124455,0,-0.3190075,-0.3190075,-0.3190075
53.3882,1.9975636,0.049215406,1.6949165,0.038846362,-0.3026471,-0.351862506,-0.263800738
53.384,1.9900997,0.09147406,1.6915379,0.07655366,-0.2985618,-0.39003586,-0.22200814
53.3798,2.1485374,0,1.8241326,1.1920929e-07,-0.3244048,-0.3244048,-0.32440468079071
53.3757,1.8092377,0.33929968,1.5356239,0.28850877,-0.2736138,-0.61291348,0.0148949700000001
53.359,1.849308,0.26825503,1.5674978,0.22654487,-0.2818102,-0.55006523,-0.05526533
53.3548,1.469938,0,1.2471151,0,-0.2228229,-0.2228229,-0.2228229
53.3506,2.131453,0,1.8124455,0,-0.3190075,-0.3190075,-0.3190075
53.3465,1.9071363,0.13143124,1.6159033,0.11301897,-0.291233,-0.42266424,-0.17821403
53.334,2.0987558,0.014822204,1.7846403,0.012603762,-0.3141155,-0.328937704,-0.301511738
53.3298,2.0965726,0.013367512,1.7814038,0.012187333,-0.3151688,-0.328536312,-0.302981467
53.3256,2.1397479,0,1.819497,0,-0.3202509,-0.3202509,-0.3202509
53.3214,2.1397479,0,1.819497,0,-0.3202509,-0.3202509,-0.3202509
53.3131,2.088275,0,1.7757281,0,-0.3125469,-0.3125469,-0.3125469
53.3048,2.0086856,0.049189687,1.7038013,0.04212773,-0.3048843,-0.354073987,-0.26275657
53.3006,2.0086856,0.049189687,1.7038013,0.04212773,-0.3048843,-0.354073987,-0.26275657
53.2964,2.1297326,0.01001513,1.8109808,0.008516133,-0.3187518,-0.32876693,-0.310235667
53.2922,1.8973615,0,1.6108816,0,-0.2864799,-0.2864799,-0.2864799
53.2881,2.0756319,0.0567022,1.7638847,0.049820688,-0.3117472,-0.3684494,-0.261926512
53.2839,2.121287,0.02362101,1.8037994,0.020085657,-0.3174876,-0.34110861,-0.297401943
53.2797,2.039608,0.08956786,1.7318174,0.0784231,-0.3077906,-0.39735846,-0.2293675
53.2756,2.1317356,0.0098127825,1.812684,0.008344072,-0.3190516,-0.3288643825,-0.310707528
53.2714,2.153529,0,1.8312156,0,-0.3223134,-0.3223134,-0.3223134
53.2672,2.1422584,0.015938815,1.821632,0.013553303,-0.3206264,-0.336565215,-0.307073097
53.263,2.130794,0,1.811885,0,-0.318909,-0.318909,-0.318909
53.2589,2.1286051,0.008408058,1.8100225,0.0071497215,-0.3185826,-0.326990658,-0.3114328785
53.2547,2.1095345,0.021259546,1.7938066,0.018078446,-0.3157279,-0.336987446,-0.297649454
53.2505,2.2052026,0.035148673,1.8751558,0.029887676,-0.3300468,-0.365195473,-0.300159124
53.2464,2.1808846,0.066766724,1.8537977,0.058139324,-0.3270869,-0.393853624,-0.268947576
53.2422,2.028484,0.19237511,1.7196826,0.16835417,-0.3088014,-0.50117651,-0.14044723
53.238,2.024577,0,1.7168628,0,-0.3077142,-0.3077142,-0.3077142
53.2338,2.172623,0.06343128,1.8458339,0.05604038,-0.3267891,-0.39022038,-0.27074872
53.2297,2.0466175,0.25082585,1.735779,0.21991858,-0.3108385,-0.56166435,-0.09091992
53.2255,2.1143296,0.08626041,1.7944632,0.07540721,-0.3198664,-0.40612681,-0.24445919
53.2213,2.1287365,0.09467778,1.8080385,0.082689576,-0.320698,-0.41537578,-0.238008424
